frame,ball_x_video,ball_y_video,ball_x_field,ball_y_field,projection_method
10,1786.6165413533834,717.5037593984962,1490.0972900390625,287.7378845214844,homography
11,1786.2116182572613,716.2406639004149,1491.47021484375,284.0069580078125,homography
12,1784.255605381166,711.4125560538116,1496.4146728515625,269.57965087890625,homography
13,1782.549019607843,702.3607843137255,1507.7181396484375,241.79934692382812,homography
14,1782.3491525423728,691.1830508474576,1524.01220703125,206.1111602783203,homography
15,1780.3225806451612,678.1290322580645,1542.2738037109375,162.3656768798828,homography
16,1783.4496487119438,667.751756440281,1562.1217041015625,125.88668060302734,homography
17,1783.773542600897,656.280269058296,1581.959716796875,83.67377471923828,homography
18,1787.1702544031311,651.7651663405088,1593.335693359375,66.4843978881836,homography
19,1791.9560975609756,658.0121951219512,1587.0950927734375,90.17943572998047,homography
20,1792.726582278481,658.326582278481,1587.312255859375,91.35523223876953,homography
21,1793.3790523690773,658.9675810473816,1586.841796875,93.74759674072266,homography
22,1795.2494226327944,663.1131639722864,1581.5166015625,109.063720703125,homography
23,1795.015625,665.9010416666666,1576.5274658203125,119.21395111083984,homography
24,1794.590909090909,669.4707792207793,1570.1021728515625,132.03842163085938,homography
25,1794.408026755853,670.7859531772575,1567.7332763671875,136.71539306640625,homography
26,1794.7527272727273,671.2981818181818,1567.2166748046875,138.52996826171875,homography
27,1796.3252032520325,669.69918699187,1571.40478515625,132.8524627685547,homography
28,1796.2885572139303,662.6915422885572,1583.2655029296875,107.51823425292969,homography
29,1799.7567567567569,658.2657657657658,1594.4119873046875,91.12776947021484,homography
30,1800.9944751381215,650.182320441989,1610.164306640625,60.37873458862305,homography
31,1808.4084507042253,653.3204225352113,1611.9207763671875,72.44328308105469,homography
32,1807.8967741935485,643.9483870967742,1628.7982177734375,35.91804122924805,homography
33,1807.6412698412696,640.7682539682539,1634.5997314453125,23.179658889770508,homography
34,1802.932773109244,637.5252100840336,1635.9713134765625,10.002989768981934,homography
35,1811.0184049079755,637.6257668711656,1644.1903076171875,10.414541244506836,homography
36,1810.69375,634.05625,1650.8843994140625,-4.304267883300781,homography
37,1808.4349775784756,630.5874439461884,1655.43896484375,-18.836027145385742,homography
38,1805.8929440389293,633.7639902676399,1646.4261474609375,-5.520023822784424,homography
39,1802.920814479638,635.1085972850678,1640.66552734375,0.059399478137493134,homography
40,1801.868556701031,638.7242268041238,1632.550048828125,14.896905899047852,homography
41,1798.285261489699,645.7892234548336,1615.5030517578125,43.21080780029297,homography
42,1766.4885844748858,680.7488584474886,1525.012939453125,171.3314208984375,homography
43,1766.9181286549708,688.5730994152046,1513.5472412109375,197.5480194091797,homography
44,1791.9229629629629,658.6548148148148,1585.9404296875,92.5809326171875,homography
45,1789.937984496124,659.6957364341085,1582.1612548828125,96.45735168457031,homography
46,1786.7354838709678,664.2193548387097,1571.2579345703125,113.10545349121094,homography
47,1780.32683982684,668.8246753246754,1557.3062744140625,129.73133850097656,homography
48,1728.6458333333333,686.0166666666667,1481.441162109375,189.0730438232422,homography
49,1729.9603524229076,697.5991189427313,1466.385498046875,226.788330078125,homography
50,1728.753846153846,708.0615384615385,1451.2113037109375,259.40826416015625,homography
51,1733.2261306532664,714.070351758794,1447.3614501953125,277.5545959472656,homography
52,1736.9646464646464,716.4848484848485,1447.5572509765625,284.72967529296875,homography
53,1744.1301369863013,713.318493150685,1458.043701171875,275.3067321777344,homography
54,1756.004608294931,711.8479262672811,1470.5870361328125,270.89154052734375,homography
55,1759.7607843137257,713.0450980392156,1472.3260498046875,274.4878234863281,homography
56,1771.6143344709897,708.122866894198,1489.66845703125,259.59564208984375,homography
57,1769.9320652173913,701.9673913043479,1496.8050537109375,240.56982421875,homography
58,1759.337899543379,697.8493150684932,1492.9903564453125,227.58401489257812,homography
59,1762.209900990099,697.5326732673267,1496.0784912109375,226.57679748535156,homography
60,1749.620938628159,697.14440433213,1485.0711669921875,225.3401336669922,homography
61,1745.5806938159878,698.7058823529412,1479.1724853515625,230.3023681640625,homography
62,1741.2515489467162,700.7769516728624,1472.3433837890625,236.8374786376953,homography
63,1737.2964480874316,702.9931693989071,1465.7120361328125,243.77198791503906,homography
64,1732.3586097946288,705.740916271722,1457.5384521484375,252.28709411621094,homography
65,1729.0414673046253,703.7687400318979,1457.1746826171875,246.18466186523438,homography
66,1725.757055214724,702.9055214723926,1455.35009765625,243.49888610839844,homography
67,1708.6855895196506,714.2663755458515,1425.300537109375,278.13946533203125,homography
68,1704.713004484305,714.3856502242153,1421.6219482421875,278.4951477050781,homography
69,1699.8051282051283,712.6307692307693,1419.439453125,273.2451477050781,homography
70,1694.85,713.7785714285715,1413.60595703125,276.6829528808594,homography
71,1691.727848101266,712.2088607594936,1412.7593994140625,271.9775695800781,homography
72,1688.46192893401,711.4720812182741,1410.7515869140625,269.75927734375,homography
73,1688.1850220264316,708.7533039647577,1413.8681640625,261.5187683105469,homography
74,1683.5973451327434,710.7389380530974,1407.303466796875,267.54559326171875,homography
75,1681.0141509433963,710.2405660377359,1405.6021728515625,266.0371398925781,homography
76,1674.3609467455622,712.7869822485208,1396.57080078125,273.7138671875,homography
77,1673.4974093264248,711.2383419689119,1397.6646728515625,269.05413818359375,homography
78,1670.825136612022,709.9781420765028,1396.794921875,265.2418518066406,homography
79,1668.35,708.0944444444444,1396.85302734375,259.5087585449219,homography
80,1662.466165413534,708.9774436090225,1390.50244140625,262.2013244628906,homography
81,1658.7155963302753,709.1009174311927,1386.988525390625,262.5771179199219,homography
82,1655.7264957264956,711.1880341880342,1297.369160970052,492.7921422322591,contact
83,1653.32,710.51,1297.369160970052,492.7921422322591,contact
84,1650.9222222222222,710.6111111111111,1297.369160970052,492.7921422322591,contact
85,1648.5753424657537,715.3150684931506,1297.369160970052,492.7921422322591,contact
86,1644.4193548387098,718.2043010752689,1297.369160970052,492.7921422322591,contact
87,1640.301204819277,715.5180722891566,1297.369160970052,492.7921422322591,contact
88,1635.7755102040817,719.9387755102041,1297.369160970052,492.7921422322591,contact
89,1629.313253012048,716.6867469879518,1297.369160970052,492.7921422322591,contact
90,1621.021978021978,712.934065934066,1297.369160970052,492.7921422322591,contact
91,1614.5670103092784,708.0824742268042,1297.369160970052,492.7921422322591,contact
92,1610.888888888889,706.7070707070707,1297.369160970052,492.7921422322591,contact
93,1608.0661157024792,705.5537190082645,1297.369160970052,492.7921422322591,contact
94,1604.5047619047618,706.8571428571429,1340.8101806640625,255.7203369140625,homography
95,1600.8102189781025,710.8759124087592,1333.0908203125,267.9596252441406,homography
96,1593.2203389830509,711.3389830508474,1325.80712890625,269.3577880859375,homography
97,1586.4198473282445,717.1679389312977,1133.5739274088542,525.7677559407553,contact
98,1577.3905325443786,716.9822485207101,1133.5739274088542,525.7677559407553,contact
99,1571.840182648402,714.4383561643835,1133.5739274088542,525.7677559407553,contact
100,1563.1777777777777,712.4166666666666,1133.5739274088542,525.7677559407553,contact
101,1556.2874251497003,709.2395209580839,1133.5739274088542,525.7677559407553,contact
102,1553.8,705.4137931034483,1296.5821533203125,251.27821350097656,homography
103,1547.8910256410256,703.8782051282051,1292.802978515625,246.5247039794922,homography
104,1542.489655172414,705.1724137931035,1133.5739274088542,525.7677559407553,contact
105,1535.5656565656566,707.8434343434343,1133.5739274088542,525.7677559407553,contact
106,1530.6078431372548,713.1078431372549,1133.5739274088542,525.7677559407553,contact
107,1527.7758620689656,721.6091954022988,1133.5739274088542,525.7677559407553,contact
108,1524.175925925926,725.8796296296297,1133.5739274088542,525.7677559407553,contact
109,1521.3716216216217,729.918918918919,1133.5739274088542,525.7677559407553,contact
110,1517.6913580246917,724.0061728395061,1133.5739274088542,525.7677559407553,contact
111,1501.33,718.24,1133.5739274088542,525.7677559407553,contact
