frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,field_x,field_y,timestamp_sec
21,2,895,657,959,825,927,825,702.156005859375,624.4613037109375,0.7
21,3,1398,679,1463,776,1430,776,1264.1798095703125,397.2785949707031,0.7
21,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,0.7
22,1,145,669,230,821,187,821,-80.98577117919922,580.7911987304688,0.7333333333333333
22,2,895,657,958,825,926,825,701.1090698242188,624.4280395507812,0.7333333333333333
22,3,1398,679,1463,776,1430,776,1264.1798095703125,397.2785949707031,0.7333333333333333
22,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,0.7333333333333333
23,1,145,669,229,821,187,821,-80.98577117919922,580.7911987304688,0.7666666666666667
23,2,895,657,959,824,927,824,702.0548706054688,619.8087768554688,0.7666666666666667
23,3,1398,679,1463,775,1430,775,1264.9935302734375,391.8927307128906,0.7666666666666667
23,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,0.7666666666666667
24,1,145,669,231,821,188,821,-79.92366027832031,580.8250732421875,0.8
24,2,895,657,958,825,926,825,701.1090698242188,624.4280395507812,0.8
24,3,1398,679,1463,776,1430,776,1264.1798095703125,397.2785949707031,0.8
24,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,0.8
25,1,146,669,230,821,188,821,-79.92366027832031,580.8250732421875,0.8333333333333334
25,2,895,659,957,824,926,824,701.0062866210938,619.775390625,0.8333333333333334
25,3,1398,679,1463,776,1430,776,1264.1798095703125,397.2785949707031,0.8333333333333334
25,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,0.8333333333333334
26,1,146,669,230,821,188,821,-79.92366027832031,580.8250732421875,0.8666666666666667
26,2,895,659,957,825,926,825,701.1090698242188,624.4280395507812,0.8666666666666667
26,3,1398,679,1463,776,1430,776,1264.1798095703125,397.2785949707031,0.8666666666666667
26,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,0.8666666666666667
27,1,146,668,227,821,186,821,-82.04789733886719,580.7572631835938,0.9
27,2,895,659,956,825,925,825,700.06201171875,624.3947143554688,0.9
27,3,1399,679,1463,776,1431,776,1265.304443359375,397.3158264160156,0.9
27,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,0.9
28,1,146,668,226,820,186,820,-83.3573226928711,575.989501953125,0.9333333333333333
28,2,895,659,956,825,925,825,700.06201171875,624.3947143554688,0.9333333333333333
28,3,1399,679,1463,775,1431,775,1266.1199951171875,391.9300537109375,0.9333333333333333
28,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,0.9333333333333333
29,1,146,666,226,820,186,820,-83.3573226928711,575.989501953125,0.9666666666666667
29,2,895,659,957,825,926,825,701.1090698242188,624.4280395507812,0.9666666666666667
29,3,1399,679,1463,776,1431,776,1265.304443359375,397.3158264160156,0.9666666666666667
29,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,0.9666666666666667
30,1,147,667,229,821,188,821,-79.92366027832031,580.8250732421875,1.0
30,2,895,659,957,825,926,825,701.1090698242188,624.4280395507812,1.0
30,3,1399,679,1463,776,1431,776,1265.304443359375,397.3158264160156,1.0
30,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,1.0
31,1,146,666,230,821,188,821,-79.92366027832031,580.8250732421875,1.0333333333333334
31,2,895,658,957,825,926,825,701.1090698242188,624.4280395507812,1.0333333333333334
31,3,1399,679,1463,776,1431,776,1265.304443359375,397.3158264160156,1.0333333333333334
31,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,1.0333333333333334
32,1,147,665,229,820,188,820,-81.22980499267578,576.0574340820312,1.0666666666666667
32,2,895,659,957,825,926,825,701.1090698242188,624.4280395507812,1.0666666666666667
32,3,1399,679,1463,776,1431,776,1265.304443359375,397.3158264160156,1.0666666666666667
32,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,1.0666666666666667
33,1,147,664,229,820,188,820,-81.22980499267578,576.0574340820312,1.1
33,2,895,658,958,825,926,825,701.1090698242188,624.4280395507812,1.1
33,3,1399,679,1463,776,1431,776,1265.304443359375,397.3158264160156,1.1
33,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,1.1
34,1,145,663,224,820,184,820,-85.48489379882812,575.9215698242188,1.1333333333333333
34,2,895,659,958,825,926,825,701.1090698242188,624.4280395507812,1.1333333333333333
34,3,1399,679,1463,776,1431,776,1265.304443359375,397.3158264160156,1.1333333333333333
34,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,1.1333333333333333
35,1,147,663,230,820,188,820,-81.22980499267578,576.0574340820312,1.1666666666666667
35,2,895,658,958,825,926,825,701.1090698242188,624.4280395507812,1.1666666666666667
35,3,1399,679,1463,775,1431,775,1266.1199951171875,391.9300537109375,1.1666666666666667
35,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,1.1666666666666667
36,1,144,663,224,820,184,820,-85.48489379882812,575.9215698242188,1.2
36,2,895,658,959,825,927,825,702.156005859375,624.4613037109375,1.2
36,3,1399,679,1463,775,1431,775,1266.1199951171875,391.9300537109375,1.2
36,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,1.2
37,1,147,665,233,822,190,822,-76.5006103515625,585.6456298828125,1.2333333333333334
37,2,895,657,958,825,926,825,701.1090698242188,624.4280395507812,1.2333333333333334
37,3,1399,679,1463,775,1431,775,1266.1199951171875,391.9300537109375,1.2333333333333334
37,4,1460,741,1573,861,1516,861,1288.446533203125,801.066162109375,1.2333333333333334
38,1,147,665,232,822,189,822,-77.56106567382812,585.61181640625,1.2666666666666666
38,2,895,657,959,825,927,825,702.156005859375,624.4613037109375,1.2666666666666666
38,3,1399,679,1463,775,1431,775,1266.1199951171875,391.9300537109375,1.2666666666666666
38,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,1.2666666666666666
39,1,144,666,222,821,183,821,-85.23434448242188,580.6556396484375,1.3
39,2,895,657,960,825,927,825,702.156005859375,624.4613037109375,1.3
39,3,1399,679,1463,775,1431,775,1266.1199951171875,391.9300537109375,1.3
39,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,1.3
40,1,146,664,230,821,188,821,-79.92366027832031,580.8250732421875,1.3333333333333333
40,2,895,657,959,825,927,825,702.156005859375,624.4613037109375,1.3333333333333333
40,3,1399,679,1463,774,1431,774,1266.938232421875,386.52655029296875,1.3333333333333333
40,4,1459,739,1573,862,1516,862,1287.699951171875,805.1969604492188,1.3333333333333333
41,1,144,665,223,820,183,820,-86.54869842529297,575.8876342773438,1.3666666666666667
41,2,895,658,958,825,926,825,701.1090698242188,624.4280395507812,1.3666666666666667
41,3,1399,679,1463,774,1431,774,1266.938232421875,386.52655029296875,1.3666666666666667
41,4,1459,740,1573,861,1516,861,1288.446533203125,801.066162109375,1.3666666666666667
42,1,146,664,232,821,189,821,-78.86155700683594,580.8589477539062,1.4
42,2,894,658,957,825,925,825,700.06201171875,624.3947143554688,1.4
42,3,1399,679,1463,774,1431,774,1266.938232421875,386.52655029296875,1.4
42,4,1459,740,1573,862,1516,862,1287.699951171875,805.1969604492188,1.4
43,1,146,663,235,821,190,821,-77.79946899414062,580.892822265625,1.4333333333333333
43,2,894,658,957,825,925,825,700.06201171875,624.3947143554688,1.4333333333333333
43,3,1399,680,1463,774,1431,774,1266.938232421875,386.52655029296875,1.4333333333333333
43,4,1459,739,1573,861,1516,861,1288.446533203125,801.066162109375,1.4333333333333333
44,1,145,665,223,820,184,820,-85.48489379882812,575.9215698242188,1.4666666666666666
44,2,894,658,958,825,926,825,701.1090698242188,624.4280395507812,1.4666666666666666
44,3,1399,679,1463,774,1431,774,1266.938232421875,386.52655029296875,1.4666666666666666
44,4,1459,740,1573,861,1516,861,1288.446533203125,801.066162109375,1.4666666666666666
45,1,145,665,226,819,185,819,-85.73621368408203,571.1730346679688,1.5
45,2,895,659,963,825,929,825,704.25,624.5278930664062,1.5
45,3,1399,679,1463,774,1431,774,1266.938232421875,386.52655029296875,1.5
45,4,1459,740,1573,861,1516,861,1288.446533203125,801.066162109375,1.5
46,1,145,666,222,818,183,818,-89.18958282470703,566.3074340820312,1.5333333333333334
46,2,895,659,960,825,927,825,702.156005859375,624.4613037109375,1.5333333333333334
46,3,1399,679,1463,774,1431,774,1266.938232421875,386.52655029296875,1.5333333333333334
46,4,1459,740,1573,861,1516,861,1288.446533203125,801.066162109375,1.5333333333333334
47,1,148,665,230,819,189,819,-81.47457885742188,571.3092041015625,1.5666666666666667
47,2,895,659,960,825,927,825,702.156005859375,624.4613037109375,1.5666666666666667
47,3,1399,679,1463,774,1431,774,1266.938232421875,386.52655029296875,1.5666666666666667
47,4,1459,740,1573,861,1516,861,1288.446533203125,801.066162109375,1.5666666666666667
48,1,148,666,237,819,192,819,-78.27848052978516,571.4113159179688,1.6
48,2,894,657,960,825,927,825,702.156005859375,624.4613037109375,1.6
48,3,1399,679,1463,774,1431,774,1266.938232421875,386.52655029296875,1.6
48,4,1459,740,1572,861,1515,861,1287.4599609375,801.03564453125,1.6
49,1,148,666,232,819,190,819,-80.4092025756836,571.34326171875,1.6333333333333333
49,2,894,658,959,825,926,825,701.1090698242188,624.4280395507812,1.6333333333333333
49,3,1399,679,1463,774,1431,774,1266.938232421875,386.52655029296875,1.6333333333333333
49,4,1460,740,1572,861,1516,861,1288.446533203125,801.066162109375,1.6333333333333333
50,1,150,665,233,819,191,819,-79.34383392333984,571.3773193359375,1.6666666666666667
50,2,894,657,960,825,927,825,702.156005859375,624.4613037109375,1.6666666666666667
50,3,1399,679,1463,775,1431,775,1266.1199951171875,391.9300537109375,1.6666666666666667
50,4,1460,739,1573,861,1516,861,1288.446533203125,801.066162109375,1.6666666666666667
51,1,150,666,233,820,191,820,-78.03860473632812,576.1593627929688,1.7
51,2,894,657,960,825,927,825,702.156005859375,624.4613037109375,1.7
51,3,1399,679,1463,775,1431,775,1266.1199951171875,391.9300537109375,1.7
51,4,1460,739,1573,861,1516,861,1288.446533203125,801.066162109375,1.7
52,1,153,652,232,820,192,820,-76.97489929199219,576.1932983398438,1.7333333333333334
52,2,894,658,963,825,928,825,703.2030029296875,624.49462890625,1.7333333333333334
52,3,1398,680,1463,776,1430,776,1264.1798095703125,397.2785949707031,1.7333333333333334
52,4,1460,739,1573,861,1516,861,1288.446533203125,801.066162109375,1.7333333333333334
53,1,153,657,231,818,192,818,-79.5860824584961,566.6145629882812,1.7666666666666666
53,2,894,657,960,825,927,825,702.156005859375,624.4613037109375,1.7666666666666666
53,3,1399,679,1464,775,1431,775,1266.1199951171875,391.9300537109375,1.7666666666666666
53,4,1460,739,1572,861,1516,861,1288.446533203125,801.066162109375,1.7666666666666666
54,1,152,649,229,818,190,818,-81.72010803222656,566.5463256835938,1.8
54,2,894,657,958,825,926,825,701.1090698242188,624.4280395507812,1.8
54,3,1399,679,1464,775,1431,775,1266.1199951171875,391.9300537109375,1.8
54,4,1460,739,1573,861,1516,861,1288.446533203125,801.066162109375,1.8
55,1,153,664,233,819,193,819,-77.213134765625,571.4453735351562,1.8333333333333333
55,2,895,659,961,825,928,825,703.2030029296875,624.49462890625,1.8333333333333333
55,3,1400,680,1467,780,1433,780,1264.3031005859375,418.7572937011719,1.8333333333333333
55,4,1466,742,1567,860,1516,860,1289.1951904296875,796.9234619140625,1.8333333333333333
56,1,158,664,224,813,191,813,-87.26050567626953,542.372314453125,1.8666666666666667
56,2,895,658,962,825,928,825,703.2030029296875,624.49462890625,1.8666666666666667
56,3,1400,680,1467,781,1433,781,1263.4971923828125,424.05560302734375,1.8666666666666667
56,4,1467,741,1567,860,1517,860,1290.18310546875,796.9541015625,1.8666666666666667
57,1,161,665,231,816,196,816,-77.9322509765625,557.1136474609375,1.9
57,2,895,659,963,825,929,825,704.25,624.5278930664062,1.9
57,3,1400,680,1467,781,1433,781,1263.4971923828125,424.05560302734375,1.9
57,4,1467,741,1568,860,1517,860,1290.18310546875,796.9541015625,1.9
58,1,162,669,223,812,192,812,-87.5173110961914,537.52001953125,1.9333333333333333
58,2,895,659,962,825,928,825,703.2030029296875,624.49462890625,1.9333333333333333
58,3,1400,680,1467,781,1433,781,1263.4971923828125,424.05560302734375,1.9333333333333333
58,4,1465,737,1553,860,1509,860,1282.279541015625,796.7091064453125,1.9333333333333333
59,1,162,668,226,808,194,808,-90.72013092041016,517.8893432617188,1.9666666666666666
59,2,895,659,962,825,928,825,703.2030029296875,624.49462890625,1.9666666666666666
59,3,1400,679,1466,778,1433,778,1265.9229736328125,408.10870361328125,1.9666666666666666
59,4,1467,739,1565,860,1516,860,1289.1951904296875,796.9234619140625,1.9666666666666666
60,1,162,670,234,815,198,815,-77.10151672363281,552.3411865234375,2.0
60,2,895,659,961,824,928,824,703.1034545898438,619.8421020507812,2.0
60,3,1400,678,1465,777,1432,777,1265.6142578125,402.72113037109375,2.0
60,4,1466,738,1563,860,1514,860,1287.2193603515625,796.8622436523438,2.0
61,1,162,671,243,823,202,823,-62.50081253051758,590.7886352539062,2.033333333333333
61,2,895,659,962,824,928,824,703.1034545898438,619.8421020507812,2.033333333333333
61,3,1400,676,1464,776,1432,776,1266.428955078125,397.3530578613281,2.033333333333333
61,4,1467,737,1562,859,1514,859,1287.9674072265625,792.7074584960938,2.033333333333333
62,1,163,669,238,821,200,821,-67.1792221069336,581.231689453125,2.066666666666667
62,2,895,659,963,824,929,824,704.1520385742188,619.87548828125,2.066666666666667
62,3,1401,677,1464,776,1432,776,1266.428955078125,397.3530578613281,2.066666666666667
62,4,1467,738,1563,859,1515,859,1288.956787109375,792.7380981445312,2.066666666666667
63,1,163,669,244,822,203,822,-62.71580505371094,586.0851440429688,2.1
63,2,895,659,965,824,930,824,705.2006225585938,619.9088745117188,2.1
63,3,1401,677,1463,777,1432,777,1265.6142578125,402.72113037109375,2.1
63,4,1461,734,1572,859,1516,859,1289.946044921875,792.768798828125,2.1
64,1,162,652,238,821,200,821,-67.1792221069336,581.231689453125,2.1333333333333333
64,2,895,658,966,825,930,825,705.2969360351562,624.5612182617188,2.1333333333333333
64,3,1400,675,1463,779,1431,779,1262.8736572265625,413.3677673339844,2.1333333333333333
64,4,1461,732,1573,859,1517,859,1290.9354248046875,792.7994995117188,2.1333333333333333
65,1,161,636,262,813,211,813,-65.75586700439453,543.0628051757812,2.1666666666666665
65,2,895,658,963,824,929,824,704.1520385742188,619.87548828125,2.1666666666666665
65,3,1400,672,1463,780,1431,780,1262.068603515625,418.6835632324219,2.1666666666666665
65,4,1466,735,1567,859,1516,859,1289.946044921875,792.768798828125,2.1666666666666665
66,1,163,635,235,808,199,808,-85.30134582519531,518.0640258789062,2.2
66,2,895,658,962,824,928,824,703.1034545898438,619.8421020507812,2.2
66,3,1400,672,1462,779,1431,779,1262.8736572265625,413.3677673339844,2.2
66,4,1466,736,1558,859,1512,859,1285.9886474609375,792.6460571289062,2.2
67,1,166,640,226,806,196,806,-91.24942779541016,508.0166015625,2.2333333333333334
67,2,895,659,961,824,928,824,703.1034545898438,619.8421020507812,2.2333333333333334
67,3,1400,670,1462,777,1431,777,1264.491455078125,402.6839904785156,2.2333333333333334
67,4,1469,736,1559,859,1514,859,1287.9674072265625,792.7074584960938,2.2333333333333334
68,1,164,639,254,821,209,821,-57.62201690673828,581.53662109375,2.2666666666666666
68,2,895,658,962,824,928,824,703.1034545898438,619.8421020507812,2.2666666666666666
68,3,1399,669,1461,774,1430,774,1265.8099365234375,386.4891357421875,2.2666666666666666
68,4,1466,733,1555,856,1510,856,1286.249755859375,780.0473022460938,2.2666666666666666
69,1,163,632,265,823,214,823,-49.797584533691406,591.193359375,2.3
69,2,895,658,963,825,929,825,704.25,624.5278930664062,2.3
69,3,1399,668,1462,777,1430,777,1263.3687744140625,402.6468505859375,2.3
69,4,1478,737,1552,857,1515,857,1290.462158203125,784.3926391601562,2.3
70,1,165,636,277,814,221,814,-53.72600173950195,548.2772216796875,2.3333333333333335
70,2,895,658,963,824,929,824,704.1520385742188,619.87548828125,2.3333333333333335
70,3,1399,668,1461,776,1430,776,1264.1798095703125,397.2785949707031,2.3333333333333335
70,4,1480,738,1551,857,1515,857,1290.462158203125,784.3926391601562,2.3333333333333335
71,1,178,635,264,801,221,801,-70.67414855957031,483.7721862792969,2.3666666666666667
71,2,895,659,962,824,928,824,703.1034545898438,619.8421020507812,2.3666666666666667
71,3,1399,668,1460,775,1429,775,1263.8670654296875,391.85540771484375,2.3666666666666667
71,4,1457,735,1571,860,1514,860,1287.2193603515625,796.8622436523438,2.3666666666666667
72,1,187,633,261,803,224,803,-64.74530792236328,493.974609375,2.4
72,2,895,658,962,825,928,825,703.2030029296875,624.49462890625,2.4
72,3,1399,667,1461,775,1430,775,1264.9935302734375,391.8927307128906,2.4
72,4,1453,734,1571,861,1512,861,1284.5003662109375,800.9439697265625,2.4
73,1,194,636,261,808,227,808,-54.961856842041016,519.0420532226562,2.433333333333333
73,2,894,659,961,825,927,825,702.156005859375,624.4613037109375,2.433333333333333
73,3,1399,667,1461,774,1430,774,1265.8099365234375,386.4891357421875,2.433333333333333
73,4,1452,733,1571,860,1511,860,1284.2554931640625,796.7703857421875,2.433333333333333
74,1,199,636,258,809,228,809,-52.59092330932617,524.0222778320312,2.466666666666667
74,2,894,659,961,825,927,825,702.156005859375,624.4613037109375,2.466666666666667
74,3,1399,666,1463,779,1431,779,1262.8736572265625,413.3677673339844,2.466666666666667
74,4,1448,732,1571,860,1509,860,1282.279541015625,796.7091064453125,2.466666666666667
75,1,202,645,260,800,231,800,-61.03467559814453,479.0559387207031,2.5
75,2,894,659,961,825,927,825,702.156005859375,624.4613037109375,2.5
75,3,1399,666,1462,780,1430,780,1260.9512939453125,418.6466979980469,2.5
75,4,1447,730,1570,859,1508,859,1282.031005859375,792.5233154296875,2.5
76,1,198,634,272,810,235,810,-43.747920989990234,529.1953735351562,2.533333333333333
76,2,895,659,961,825,928,825,703.2030029296875,624.49462890625,2.533333333333333
76,3,1399,667,1462,784,1430,784,1257.7646484375,439.73822021484375,2.533333333333333
76,4,1449,730,1570,859,1509,859,1283.0203857421875,792.5540161132812,2.533333333333333
77,1,208,643,272,817,240,817,-29.615903854370117,563.4443359375,2.566666666666667
77,2,895,659,961,825,928,825,703.2030029296875,624.49462890625,2.566666666666667
77,3,1399,667,1461,780,1430,780,1260.9512939453125,418.6466979980469,2.566666666666667
77,4,1450,729,1570,859,1510,859,1284.0098876953125,792.584716796875,2.566666666666667
78,1,205,638,297,827,251,827,-5.8948469161987305,611.2305908203125,2.6
78,2,894,660,960,825,927,825,702.156005859375,624.4613037109375,2.6
78,3,1399,667,1459,781,1429,781,1259.0352783203125,423.9085388183594,2.6
78,4,1449,729,1571,860,1510,860,1283.2674560546875,796.73974609375,2.6
79,1,217,653,289,820,253,820,-12.111180305480957,578.2645263671875,2.6333333333333333
79,2,894,659,959,825,926,825,701.1090698242188,624.4280395507812,2.6333333333333333
79,3,1399,667,1459,780,1429,780,1259.833984375,418.6098327636719,2.6333333333333333
79,4,1449,730,1570,860,1509,860,1282.279541015625,796.7091064453125,2.6333333333333333
80,1,221,658,293,821,257,821,-6.6664605140686035,583.1624755859375,2.6666666666666665
80,2,894,660,958,824,926,824,701.0062866210938,619.775390625,2.6666666666666665
80,3,1399,668,1458,778,1428,778,1260.318359375,407.9234619140625,2.6666666666666665
80,4,1450,730,1570,859,1510,859,1284.0098876953125,792.584716796875,2.6666666666666665
81,1,224,661,291,818,257,818,-10.256227493286133,568.8318481445312,2.7
81,2,895,660,959,824,927,824,702.0548706054688,619.8087768554688,2.7
81,3,1399,668,1458,781,1428,781,1257.9197998046875,423.87176513671875,2.7
81,4,1448,731,1570,859,1509,859,1283.0203857421875,792.5540161132812,2.7
82,1,226,665,284,821,255,821,-8.789063453674316,583.0947265625,2.7333333333333334
82,2,894,660,959,824,926,824,701.0062866210938,619.775390625,2.7333333333333334
82,3,1400,669,1458,779,1429,779,1260.6353759765625,413.2938537597656,2.7333333333333334
82,4,1449,729,1571,860,1510,860,1283.2674560546875,796.73974609375,2.7333333333333334
83,1,230,668,295,823,262,823,0.998367965221405,592.8115234375,2.7666666666666666
83,2,894,661,958,824,926,824,701.0062866210938,619.775390625,2.7666666666666666
83,3,1400,668,1457,775,1428,775,1262.74072265625,391.8180847167969,2.7666666666666666
83,4,1450,728,1571,861,1510,861,1282.5272216796875,800.8828125,2.7666666666666666
84,1,230,669,282,817,256,817,-12.528100967407227,563.9912719726562,2.8
84,2,894,660,958,824,926,824,701.0062866210938,619.775390625,2.8
84,3,1400,669,1456,777,1428,777,1261.1231689453125,402.57257080078125,2.8
84,4,1451,729,1570,861,1510,861,1282.5272216796875,800.8828125,2.8
85,1,235,665,286,814,260,814,-11.87604808807373,549.619873046875,2.8333333333333335
85,2,893,658,960,824,926,824,701.0062866210938,619.775390625,2.8333333333333335
85,3,1399,668,1455,780,1427,780,1257.599365234375,418.5361328125,2.8333333333333335
85,4,1454,731,1567,859,1510,859,1284.0098876953125,792.584716796875,2.8333333333333335
86,1,238,664,282,812,260,812,-14.30778980255127,539.8724975585938,2.8666666666666667
86,2,894,658,957,823,925,823,699.8530883789062,615.0750732421875,2.8666666666666667
