frame,track_id,class,x,y,x1,y1,x2,y2
26,2,16,1587,867,1546,741,1628,867
26,3,0,931,829,896,683,966,829
26,4,16,1458,784,1428,671,1488,784
26,5,0,32,903,0,746,64,903
26,6,0,23,901,0,760,47,901
27,1,0,1056,1027,1020,835,1092,1027
27,2,16,1587,867,1546,741,1628,867
27,3,0,931,829,896,683,966,829
27,4,16,1458,784,1428,671,1488,784
27,5,0,33,902,0,746,67,902
27,6,0,25,901,0,761,50,901
28,1,0,1056,1027,1019,835,1093,1027
28,2,16,1587,868,1546,741,1628,868
28,3,0,931,829,896,681,967,829
28,4,16,1457,784,1428,671,1487,784
28,5,0,34,903,0,748,69,903
29,1,0,1054,1027,1017,835,1091,1027
29,2,16,1586,868,1545,741,1627,868
29,3,0,931,830,896,682,967,830
29,4,16,1464,787,1428,671,1501,787
29,5,0,37,905,0,750,74,905
30,1,0,1053,1027,1016,835,1091,1027
30,2,16,1586,868,1545,740,1627,868
30,3,0,932,830,896,682,968,830
30,4,16,1460,785,1428,671,1493,785
30,5,0,38,906,0,754,76,906
31,1,0,1052,1027,1014,834,1091,1027
31,2,16,1586,868,1545,739,1627,868
31,3,0,932,830,896,682,968,830
31,4,16,1465,787,1428,671,1503,787
31,5,0,39,906,0,758,78,906
32,1,0,1051,1027,1013,835,1089,1027
32,2,16,1586,868,1545,739,1627,868
32,3,0,932,830,896,682,968,830
32,4,16,1467,788,1428,672,1507,788
32,5,0,40,906,0,762,81,906
32,10,0,1586,868,1545,739,1628,868
33,1,0,1050,1027,1012,835,1089,1027
33,2,16,1585,869,1545,738,1626,869
33,3,0,932,830,896,681,968,830
33,4,16,1468,788,1428,672,1508,788
33,5,0,41,908,0,763,82,908
33,10,0,1586,868,1545,738,1627,868
34,1,0,1049,1027,1010,835,1089,1027
34,2,0,1585,868,1545,737,1626,868
34,3,0,932,830,896,681,968,830
34,4,16,1468,788,1428,672,1508,788
34,5,0,42,909,1,761,83,909
35,1,0,1050,1027,1009,835,1091,1027
35,2,0,1585,868,1545,735,1625,868
35,3,0,932,831,896,680,968,831
35,4,0,1466,787,1429,671,1504,787
35,5,0,42,908,3,756,82,908
36,1,0,1050,1027,1008,835,1092,1027
36,2,0,1584,868,1544,734,1625,868
36,3,0,932,831,896,679,969,831
36,4,0,1465,787,1429,671,1502,787
36,5,0,49,915,5,746,93,915
37,1,0,1050,1027,1008,835,1092,1027
37,2,0,1583,869,1543,733,1623,869
37,3,0,932,831,896,678,969,831
37,4,0,1465,787,1429,671,1501,787
37,5,0,54,920,6,743,102,920
38,1,0,1050,1027,1007,835,1093,1027
38,2,0,1582,868,1543,731,1622,868
38,3,0,933,831,896,678,970,831
38,4,0,1464,786,1429,671,1500,786
38,5,0,48,915,4,738,92,915
39,1,0,1049,1027,1005,835,1093,1027
39,2,0,1585,869,1543,730,1628,869
39,3,0,933,832,896,677,970,832
39,4,0,1464,786,1429,671,1500,786
39,5,0,44,911,2,731,87,911
40,1,0,1048,1027,1004,835,1093,1027
40,2,0,1582,869,1542,727,1623,869
40,3,0,932,831,896,677,969,831
40,4,0,1464,786,1429,671,1499,786
40,5,0,45,910,2,720,89,910
41,1,0,1048,1027,1003,835,1093,1027
41,2,0,1579,868,1542,725,1617,868
41,3,0,932,831,895,677,970,831
41,4,0,1460,786,1429,671,1491,786
41,5,0,47,911,2,728,93,911
42,1,0,1047,1027,1003,835,1092,1027
42,2,0,1579,867,1542,724,1616,867
42,3,0,932,831,895,678,970,831
42,4,0,1462,786,1429,671,1496,786
42,5,0,54,917,7,728,101,917
43,1,0,1047,1027,1002,835,1092,1027
43,2,0,1579,868,1542,720,1616,868
43,3,0,932,831,895,677,970,831
43,4,0,1464,787,1429,671,1500,787
43,5,0,56,920,6,730,106,920
44,1,0,1047,1027,1002,835,1092,1027
44,2,0,1579,869,1541,717,1617,869
44,3,0,932,831,896,678,969,831
44,4,0,1460,786,1429,671,1491,786
44,5,0,51,918,3,722,99,918
45,1,0,1047,1026,1002,835,1093,1026
45,2,0,1575,869,1540,716,1611,869
