frame,track_id,conf,x,y,x1,y1,x2,y2
0,1,0.7380464673042297,62,63,39,38,85,89
1,1,0.7385161519050598,62,63,39,38,85,89
2,1,0.7383774518966675,62,63,39,38,85,89
3,1,0.7373557090759277,62,63,39,38,85,89
4,1,0.7374422550201416,62,63,39,38,85,89
5,1,0.7373812198638916,62,63,39,38,85,89
6,1,0.7380324602127075,62,63,39,38,85,89
7,1,0.7373512983322144,62,63,39,38,85,89
8,1,0.7367802262306213,62,63,39,38,85,89
9,1,0.7368753552436829,62,63,39,38,85,89
10,1,0.7343142628669739,62,63,39,38,85,89
11,1,0.733740508556366,62,63,39,38,85,89
12,1,0.7337808609008789,62,63,39,38,85,89
13,1,0.7350283265113831,62,63,39,38,85,89
14,1,0.7345595955848694,62,63,39,38,85,89
15,1,0.7347944378852844,62,63,39,38,85,89
16,1,0.7354361414909363,62,63,39,38,85,89
17,1,0.7343512177467346,62,63,39,38,85,89
18,1,0.7345910668373108,62,63,39,38,85,89
19,1,0.7334991097450256,62,63,39,38,85,89
20,1,0.7343626618385315,62,63,39,38,85,89
21,1,0.7295463681221008,62,63,39,38,85,89
22,1,0.7345743775367737,62,63,39,38,85,89
23,1,0.7343974709510803,62,63,39,38,85,89
24,1,0.7321847677230835,62,63,39,38,85,89
25,1,0.7353891134262085,62,63,39,38,85,89
26,1,0.734481692314148,62,63,39,38,85,89
27,1,0.7304357290267944,62,63,39,38,85,89
28,1,0.7346418499946594,61,63,38,38,85,89
29,1,0.734214186668396,62,63,39,37,85,89
30,1,0.7335102558135986,61,63,38,37,85,89
31,1,0.7328135967254639,61,63,38,37,85,89
32,1,0.7338399291038513,62,63,39,37,85,89
33,1,0.7316454648971558,62,63,39,38,85,89
34,1,0.7313569188117981,62,63,39,38,85,89
35,1,0.7316821813583374,62,63,39,38,85,89
36,1,0.7319464087486267,62,63,39,38,85,89
37,1,0.7296462655067444,62,63,39,38,85,89
38,1,0.7330455183982849,62,63,39,38,85,89
39,1,0.7311546802520752,62,63,39,38,85,89
40,1,0.7333250641822815,62,63,39,38,85,89
41,1,0.7329838275909424,62,63,39,38,85,89
42,1,0.7318370342254639,62,63,39,38,85,89
43,1,0.7333327531814575,62,63,39,38,85,89
44,1,0.7323434948921204,62,63,39,38,85,89
45,1,0.7342320680618286,62,63,39,38,85,89
46,1,0.7339150309562683,62,63,39,38,85,89
47,1,0.7328944206237793,62,63,39,38,85,89
48,1,0.7335448265075684,62,63,39,38,85,89
49,1,0.7335601449012756,62,63,39,38,85,89
50,1,0.7341157793998718,62,63,39,38,85,89
51,1,0.7343798279762268,62,63,39,38,85,89
52,1,0.7336412668228149,62,63,39,38,85,89
53,1,0.7325448393821716,62,63,39,38,85,89
54,1,0.7321985363960266,62,63,39,38,85,89
55,1,0.7326277494430542,62,63,39,38,85,89
56,1,0.7336098551750183,61,63,38,38,85,89
57,1,0.7372704148292542,61,63,38,38,85,89
58,1,0.7369205951690674,61,63,38,38,85,89
59,1,0.7363065481185913,61,63,38,38,85,89
60,1,0.7374053597450256,61,63,38,38,85,89
61,1,0.7377177476882935,61,63,38,38,85,89
62,1,0.737885594367981,61,63,38,38,85,89
63,1,0.7372850179672241,61,63,38,38,85,89
64,1,0.7371936440467834,61,63,38,38,85,89
65,1,0.7370284795761108,61,63,38,38,85,89
66,1,0.7348239421844482,61,63,38,38,85,89
67,1,0.7350269556045532,61,63,38,38,85,89
68,1,0.73564213514328,61,63,38,38,85,89
69,1,0.7365030646324158,61,63,38,38,85,89
70,1,0.7375950217247009,61,63,38,38,85,89
71,1,0.7368907332420349,61,63,38,38,85,89
72,1,0.7398130297660828,61,63,38,38,85,89
73,1,0.7374474406242371,61,63,38,38,85,89
74,1,0.7390128374099731,61,63,38,38,85,89
75,1,0.739143431186676,61,63,38,38,85,89
76,1,0.7399657964706421,61,63,38,38,85,89
77,1,0.738298773765564,62,63,39,38,85,89
78,1,0.7354317307472229,62,63,39,37,85,89
79,1,0.7364700436592102,62,63,39,37,85,89
80,1,0.7359997034072876,62,63,39,37,85,89
81,1,0.734756350517273,62,63,39,37,85,89
82,1,0.7349587082862854,62,63,39,37,85,89
83,1,0.7337685823440552,62,63,39,38,85,89
84,1,0.7338666915893555,62,63,39,38,85,89
85,1,0.7341161966323853,62,63,39,38,85,89
86,1,0.7347252368927002,62,63,39,38,85,89
87,1,0.7353519201278687,62,63,39,38,85,89
88,1,0.7352729439735413,62,63,39,38,85,89
89,1,0.7353756427764893,62,63,39,38,85,89
90,1,0.7357445955276489,62,63,39,38,85,89
91,1,0.7345461845397949,62,63,39,38,85,89
