frame,track_id,class,x,y,x1,y1,x2,y2
0,1,0,1043,1026,1003,822,1084,1026
0,2,0,818,807,790,651,846,807
0,3,0,305,749,278,612,332,749
0,4,0,317,751,280,617,354,751
0,5,0,1448,780,1414,675,1482,780
0,6,0,1529,856,1486,735,1572,856
0,7,0,1436,769,1414,677,1458,769
1,1,0,1042,1027,1003,822,1082,1027
1,2,0,819,810,792,653,847,810
1,3,0,305,749,278,612,332,749
1,4,0,317,751,280,617,355,751
1,5,0,1448,780,1414,675,1482,780
1,6,0,1529,856,1486,735,1572,856
1,7,0,1437,770,1414,677,1460,770
2,1,0,1041,1027,1002,822,1081,1027
2,2,0,820,810,793,654,848,810
2,3,0,305,749,278,612,332,749
2,4,0,317,751,280,617,355,751
2,5,0,1448,780,1414,675,1482,780
2,6,0,1528,856,1486,735,1570,856
2,7,0,1438,770,1414,677,1462,770
3,1,0,1040,1026,1001,822,1080,1026
3,2,0,821,810,795,655,848,810
3,3,0,305,749,278,611,332,749
3,4,0,317,751,280,617,355,751
3,5,0,1448,780,1414,675,1482,780
3,6,0,1528,855,1486,735,1570,855
3,7,0,1437,770,1414,677,1460,770
4,1,0,1040,1026,1001,822,1079,1026
4,2,0,822,810,796,655,849,810
4,3,0,305,749,278,611,333,749
4,4,0,317,750,280,617,354,750
4,5,0,1448,780,1414,675,1482,780
4,6,0,1527,855,1486,735,1569,855
4,7,0,1436,769,1414,677,1459,769
5,1,0,1039,1026,1000,822,1078,1026
5,2,0,824,810,798,655,850,810
5,3,0,306,748,278,612,334,748
5,4,0,317,750,280,617,354,750
5,5,0,1448,780,1414,675,1482,780
5,6,0,1528,856,1486,735,1571,856
5,7,0,1436,769,1414,677,1459,769
6,1,0,1039,1025,1000,822,1078,1025
6,2,0,825,811,799,656,852,811
6,3,0,306,748,278,612,334,748
6,4,0,317,750,280,617,354,750
6,5,0,1448,780,1414,675,1482,780
6,6,0,1529,856,1486,735,1572,856
6,7,0,1436,770,1414,677,1459,770
7,1,0,1039,1025,1000,822,1078,1025
7,2,0,827,812,800,656,854,812
7,3,0,306,749,278,611,334,749
7,4,0,317,750,280,618,354,750
7,5,0,1448,780,1414,675,1482,780
7,6,0,1529,856,1486,735,1572,856
