frame,ball_x_video,ball_y_video,ball_x_field,ball_y_field,player_id,projection_method
5,1642.769436997319,553.6032171581769,,,,no_contact
6,1640.635379061372,548.3574007220217,,,,no_contact
7,1639.8089552238805,543.7791044776119,1304.0712890625,401.6304016113281,4.0,contact
8,1638.6434316353889,541.1689008042896,1307.158447265625,401.6228942871094,4.0,contact
9,1638.5510752688172,540.1666666666666,1303.681640625,396.2092590332031,4.0,contact
10,1637.2279069767442,539.8697674418605,1299.659912109375,409.7022705078125,4.0,contact
11,1636.679518072289,539.366265060241,1300.76953125,393.4902648925781,4.0,contact
12,1635.7118226600985,539.9679802955665,1300.6123046875,407.0224304199219,4.0,contact
13,1633.7862595419847,540.3994910941476,1302.54296875,412.3627014160156,4.0,contact
14,1632.6392572944296,541.7055702917772,1299.4398193359375,401.64166259765625,4.0,contact
15,1631.314540059347,545.6884272997032,1296.7091064453125,396.2256164550781,4.0,contact
16,1630.5980392156862,549.7222222222222,1298.06787109375,351.3952331542969,4.0,contact
17,1628.4060402684563,554.6409395973154,1300.203369140625,330.9339294433594,4.0,contact
18,1626.7448275862068,561.2965517241379,1288.4935302734375,351.4107971191406,4.0,contact
19,1623.9486404833838,567.7160120845922,1286.0994873046875,351.4146728515625,4.0,contact
20,1590.033898305085,558.9525423728813,1286.2647705078125,348.5237731933594,4.0,contact
21,1553.928571428571,552.3311688311688,1279.2208251953125,345.6331787109375,4.0,contact
22,1517.6550724637682,543.7826086956521,1279.867919921875,348.53387451171875,4.0,contact
23,1482.5431472081218,539.269035532995,,,,no_contact
24,1448.2190721649486,535.9046391752578,,,,no_contact
25,1410.6549295774648,530.9389671361503,,,,no_contact
26,1374.2480620155038,526.625322997416,,,,no_contact
27,1338.809264305177,521.9509536784741,,,,no_contact
28,1301.5663265306123,519.6734693877551,,,,no_contact
29,1267.092731829574,518.2130325814536,,,,no_contact
30,1229.1127982646422,516.4967462039045,,,,no_contact
31,1193.9086651053865,515.5316159250585,,,,no_contact
32,1151.902192242833,515.0961214165261,,,,no_contact
33,1121.4533622559652,516.887201735358,,,,no_contact
34,1086.2781774580335,520.1822541966427,,,,no_contact
35,1050.8805970149251,522.1432835820896,,,,no_contact
36,1016.3943217665616,526.5867507886435,,,,no_contact
37,982.2124645892352,531.084985835694,,,,no_contact
38,954.7199341021416,537.3245469522241,,,,no_contact
39,917.2530120481928,544.8650602409639,,,,no_contact
40,883.75,552.304945054945,,,,no_contact
41,852.4809384164223,560.5718475073314,,,,no_contact
42,818.1957186544342,570.2324159021407,,,,no_contact
43,789.9607250755287,582.1450151057402,,,,no_contact
44,770.2937420178799,599.2490421455939,,,,no_contact
45,,,,,,missing
46,701.0729411764706,616.6611764705882,,,,no_contact
47,666.7242339832869,632.824512534819,,,,no_contact
48,639.1614583333334,647.4479166666666,,,,no_contact
49,612.7258566978193,664.436137071651,434.5298156738281,607.8309326171875,2.0,contact
50,585.9246575342465,680.9657534246576,440.53118896484375,609.8497314453125,2.0,contact
51,560.0840840840841,696.5705705705706,440.53118896484375,609.8497314453125,2.0,contact
52,533.9839743589744,715.0544871794872,441.5298156738281,613.9303588867188,2.0,contact
53,532.4591836734694,700.8265306122449,441.90380859375,609.8419189453125,1.0,contact
54,537.6678321678322,678.3811188811189,430.90435791015625,576.2725219726562,2.0,contact
55,543.3157894736842,655.5448916408669,430.55560302734375,580.5716552734375,2.0,contact
56,549.1635802469136,633.8024691358024,427.5279235839844,565.4255981445312,2.0,contact
57,555.4330218068536,614.7819314641745,427.5279235839844,565.4255981445312,2.0,contact
58,561.659375,595.425,415.8679504394531,538.6797485351562,2.0,contact
59,566.6897689768977,577.5610561056105,409.6457214355469,510.8288879394531,2.0,contact
60,573.4462025316456,560.370253164557,,,,no_contact
61,581.4507389162561,545.8029556650247,,,,no_contact
62,588.0951008645533,527.4438040345822,,,,no_contact
63,596.2837209302326,515.9093023255814,,,,no_contact
64,602.6146496815287,501.4299363057325,,,,no_contact
65,607.2188099808061,491.8138195777351,,,,no_contact
66,617.464,479.7733333333333,,,,no_contact
67,625.8353293413173,469.16766467065867,,,,no_contact
68,635.203488372093,459.5096899224806,,,,no_contact
69,640.4042553191489,454.6781914893617,,,,no_contact
70,646.6246498599439,450.30252100840335,,,,no_contact
71,644.814024390244,452.1981707317073,,,,no_contact
72,663.3061224489796,434.4314868804665,,,,no_contact
73,669.9333333333333,429.1654320987655,,,,no_contact
74,677.6770025839793,426.0103359173127,,,,no_contact
75,685.3895348837209,422.6656976744186,,,,no_contact
76,693.6647727272727,421.96022727272725,,,,no_contact
77,701.2099125364432,421.2857142857143,,,,no_contact
78,709.3551912568306,422.8879781420765,,,,no_contact
79,718.6307692307693,426.2897435897436,,,,no_contact
80,727.8783068783068,428.9074074074074,,,,no_contact
81,735.752,432.44,,,,no_contact
